id,product_name,vm_number,active_substances,target_species,distribution_category,pharmaceutical_form,therapeutic_group,antibiotic_active_ingredient_unit,antibiotic_active_ingredient_mg_unit,antibiotic_class,antibiotic_route_of_administration,hp_cia
986,"Chanaxin 100 mg/ml Solution for Injection for Cattle, Pigs and Sheep",EU/2/22/283/001-004,Tulathromycin,,POM-V,Solution for injection,Antimicrobial,ml,100,Macrolides,Injection,
200,Metacam 5 mg/ml Solution for Injection for Cattle and Pigs,"EU/2/97/004/001,010,035-038",Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
906,"Metacam 20 mg/ml Solution for Injection for Cattle, Pigs and Horses","EU/2/97/004/007-008,014-15,027-28,031-32",Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
967,"Locatim, Oral Solution for Neonatal Calves less than 12 hours of age",EU/2/99/011/001-005,Bovine concentrated lactoserum,,POM-VPS,Oral solution,Lactoserum,,,,,
236,Halocur 0.5 mg/ml Oral Solution for Calves,EU/2/99/013/001-002,Halofuginone,,POM-V,Oral solution,Antiprotozoal,,,,,
791,Vetrazin 6% w/v Pour-on Solution,00879/4023,Cyromazine,,POM-VPS,Pour-on solution,Ectoparasiticide,,,,,
928,Premadex 10 mg/ml Solution for Injection,13277/4017,Ivermectin,,POM-VPS,Solution for injection,Endectocide,,,,,
72,Framomycin 150 mg/ml Solution for Injection,00879/4033,Framycetin Sulphate,,POM-V,Solution for injection,Antimicrobial,ml,150,Aminoglycosides,Injection,
841,"Baycox 50 mg/ml Oral Suspension for Piglets, Calves and Lambs",00879/4113,Toltrazuril,,POM-V,Oral suspension,Antiprotozoal anticoccidial,,,,,
370,Ecomectin 10 mg/ml Solution for Injection,13277/4018,Ivermectin,,POM-VPS,Solution for injection,Endectocide,,,,,
382,Ecomectin 5 mg/ml Pour-on Solution for Cattle,13277/4021,Ivermectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
396,Qualimec 5 mg/ml Pour-on Solution for Cattle,13277/4022,Ivermectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
397,Bimectin 5 mg/ml Pour-on Solution for Cattle,13277/4023,Ivermectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
251,"Copinox Cattle 24 g Capsule, Hard",14016/4000,Copper Oxide,,AVM-GSL,"Capsule, hard",Mineral,,,,,
474,"Recocam 20mg/ml Meloxicam Solution for Injection for Use in Cattle, Pigs and Horses",EU/2/11/133/001-003,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
703,Syvazul BTV Suspension for Injection for Sheep and Cattle,EU/2/18/231/001-012,Bluetongue virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
725,Kriptazen 0.5 mg/ml Oral Solution for Calves,EU/2/18/234/001-006,Halofuginone,,POM-V,Oral solution,Antiprotozoal,,,,,
536,"Inflacam 20 mg/ml Solution for Injection for Cattle, Pigs and Horses",EU/2/11/134/005-008,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
551,Inflacam 5 mg/ml Solution for Injection for Cattle and Pigs,EU/2/11/134/018-020,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
532,Kexxtone 32.4g Continuous-Release Intraruminal Device for Cattle,EU/2/12/145/001-003 ,Monensin,,POM-V,Continuous-release intraruminal device,Gastrointestinal metabolic,,,,,
131,Erythrocin 16.5% w/w Soluble Powder for Oral Solution,15052/4000,Erythromycin,,POM-V,Powder for oral solution,Antimicrobial,g,165,Macrolides,Oral Solution,
164,Spectam Scour Halt Oral Solution 50 mg/ml,15052/4006,Spectinomycin,,POM-V,Oral solution,Antimicrobial,ml,50,Aminoglycosides,Oral Solution,
694,Santiola 50 mg/ml Solution for Injection for Cattle and Sheep,01656/4118,Closantel,,POM-V,Solution for injection,Anthelmintic,,,,,
171,Amoxycare LA Suspension for Injection 15% w/v,02000/4141,Amoxicillin,,POM-V,Suspension for injection,Antimicrobial,ml,150,Penicillins,Injection,
170,Trimacare 24% Solution for Injection,02000/4145,"Sulfadiazine, Trimethoprim",,POM-V,Solution for injection,Antimicrobial,ml,240,Trim-sulph,Injection,
316,Golden Udder Gel,00292/4007,"Salicylic Acid, Sulphur",,AVM-GSL,Gel,Antiseptic,,,,,
746,Prolusyn 50 micrograms/ml Solution for Injection for Cattle,51229/4001,Gonadorelin,,POM-V,Solution for injection,Hormone sex,,,,,
898,Fixplan 200 IU/ml Lyophilisate and Solvent for Solution for Injection,51229/4002,Serum Gonadotrophin,,POM-V,Lyophilisate and solvent for solution for injection,Hormone sex,,,,,
910,DIB 1.0 g Vaginal Delivery System for Cattle,51229/4003,Progesterone,,POM-V,Vaginal delivery system,Hormone sex,,,,,
308,Synuclav Suspension for Injection,02000/4226,"Amoxicillin, Clavulanic Acid",,POM-V,Suspension for injection,Antimicrobial,ml,140,Penicillins,Injection,
836,"Tulazzin 100 mg/ml Solution for Injection for Cattle, Pigs and Sheep",54375/4000,Tulathromycin,,POM-V,Solution for injection,Antimicrobial,ml,100,macro,Injectable,
794,Oxytetrin 20 LA 200 mg/ml Solution for Injection,01708/4563,Oxytetracycline,,POM-V,Solution for injection,Antimicrobial,ml,200,tetra,Injectable,
255,"Copinox Ewe/Calf 4 g Capsule, Hard",14016/4001,Copper Oxide,,AVM-GSL,"Capsule, hard",Mineral,,,,,
