animal_id,brucellosis_id,trich_id,tsu_barcode,pedigree_id,tattoo,herd_dogg_id,uhf_id,breedr_id,alternative_id
887ae862-8d97-4692-ac41-2d8242921526,,,,,,,,B-230L-GB037K-MD24VF,
da54e5a2-fbfb-4b1d-8ec7-c4d5f6ed26ed,,,,,,,,B-230G-GB037K-NZ5X2L,
595efe9c-c095-4374-ad95-2777b5604f37,,,,,,,,B-2308-GB037K-C7YW5L,
6ebafd82-1b4b-4a1c-bca5-7fda9135a7bd,,,,,,,,B-230X-GB037K-WSYJXS,
dbcd1a04-4d70-4bdb-8b2a-185d6ecf5849,,,,,,,,B-230F-GB037K-MG2VDY,
74c7e86f-14d9-4ca4-85c8-02fbbdc21fec,,,,,,,,B-2305-GB037K-PJCZJ0,
f62749ef-4dea-44c4-a42d-75fbfc807de9,,,,,,,,B-230W-GB037K-HS8WRM,
2f565052-6bf6-4611-987c-0130e1895b28,,,,,,,,B-230Z-GB037K-VVD7SS,
4402eb23-151c-4f5c-8387-ea05dc52a1f5,,,,,,,,B-230P-GB037K-M4SVTD,
be6d306d-84ab-4001-92a0-c897d854a8f1,,,,,,,,B-230J-GB037K-ZSQK93,
63045f85-41d1-474e-bef0-adbc44b63099,,,,,,,,B-230H-GB037K-PW0FVK,
18f97093-31a0-40be-930b-b9c9065e908f,,,,,,,,B-2304-GB037K-RW4BGH,
a696591b-d1de-4f1e-bfdf-9d68a0d691cb,,,,,,,,B-230V-GB037K-93MR6S,
